dept_code,dept_name,year,dept_pop,realgdp,realgdp_percap,sum(export_value),value_added
5,Antioquia,2000,5289912,38244000000000.00,7229610,0,
5,Antioquia,2001,5368957,38607000000000.00,7190782,0,
5,Antioquia,2002,5447841,39777000000000.00,7301424.5,0,
5,Antioquia,2003,5526457,41172000000000.00,7449981,0,
5,Antioquia,2004,5604712,44802000000000.00,7993631,0,
5,Antioquia,2005,5682310,47342000000000.00,8331471,0,
5,Antioquia,2006,5757973,50737000000000.00,8811608,0,
5,Antioquia,2007,5834865,54298000000000.00,9305785,0,
5,Antioquia,2008,5911399,55215000000000.00,9340429,0,
5,Antioquia,2009,5988552,54859000000000.00,9160645,0,
5,Antioquia,2010,6066003,56673000000000.00,9342725,0,
5,Antioquia,2011,6143809,61324000000000.00,9981430,0,
5,Antioquia,2012,6221817,63973000000000.00,10282045,0,
5,Antioquia,2013,6299990,66957000000000.00,10628112,5657672178,12220849625
8,Atlántico,2000,2017388,11989000000000.00,5942833,0,
8,Atlántico,2001,2046777,11927000000000.00,5827210.5,0,
8,Atlántico,2002,2076366,12034000000000.00,5795702.5,0,
8,Atlántico,2003,2106173,12177000000000.00,5781576.5,0,
8,Atlántico,2004,2136070,12882000000000.00,6030701,0,
8,Atlántico,2005,2166020,13776000000000.00,6360052,0,
8,Atlántico,2006,2195776,14860000000000.00,6767539,0,
8,Atlántico,2007,2225481,16257000000000.00,7304937.5,0,
8,Atlántico,2008,2255143,16657000000000.00,7386228,0,
8,Atlántico,2009,2284841,16649000000000.00,7286721.5,0,
8,Atlántico,2010,2314460,16585000000000.00,7165818.5,0,
8,Atlántico,2011,2344077,17506000000000.00,7468184.5,0,
8,Atlántico,2012,2373550,18761000000000.00,7904194,0,
8,Atlántico,2013,2402910,19680000000000.00,8190069.5,1183541344,3529084685
11,Bogotá D. C.,2000,6302881,72362000000000.00,11480782,0,
11,Bogotá D. C.,2001,6412400,74382000000000.00,11599713,0,
11,Bogotá D. C.,2002,6520473,77434000000000.00,11875519,0,
11,Bogotá D. C.,2003,6627568,81116000000000.00,12239180,0,
11,Bogotá D. C.,2004,6734041,85535000000000.00,12701883,0,
11,Bogotá D. C.,2005,6840116,90598000000000.00,13245097,0,
11,Bogotá D. C.,2006,6945216,96579000000000.00,13905831,0,
11,Bogotá D. C.,2007,7050228,102688000000000.00,14565203,0,
11,Bogotá D. C.,2008,7155052,106061000000000.00,14823233,0,
11,Bogotá D. C.,2009,7259597,108283000000000.00,14915842,0,
11,Bogotá D. C.,2010,7363782,112169000000000.00,15232526,0,
11,Bogotá D. C.,2011,7467804,118514000000000.00,15869993,0,
11,Bogotá D. C.,2012,7571345,122886000000000.00,16230406,0,
11,Bogotá D. C.,2013,7674366,127523000000000.00,16616747,3393380889,15820179047
13,Bolívar,2000,1792634,10343000000000.00,5769722,0,
13,Bolívar,2001,1810899,10567000000000.00,5835223.5,0,
13,Bolívar,2002,1828057,10802000000000.00,5909006,0,
13,Bolívar,2003,1844798,12454000000000.00,6750874.5,0,
13,Bolívar,2004,1861840,13365000000000.00,7178382.5,0,
13,Bolívar,2005,1879480,13315000000000.00,7084406.5,0,
13,Bolívar,2006,1898031,14239000000000.00,7501985,0,
13,Bolívar,2007,1917345,15413000000000.00,8038720,0,
13,Bolívar,2008,1937500,15618000000000.00,8060903,0,
13,Bolívar,2009,1958431,15586000000000.00,7958411.5,0,
13,Bolívar,2010,1980012,16270000000000.00,8217122,0,
13,Bolívar,2011,2002531,17738000000000.00,8857790,0,
13,Bolívar,2012,2025573,17896000000000.00,8835031,0,
13,Bolívar,2013,2049109,18851000000000.00,9199608,4659872320,3487551837
15,Boyacá,2000,1234550,7997000000000.00,6477664,0,
15,Boyacá,2001,1239693,7955000000000.00,6416911.5,0,
15,Boyacá,2002,1244292,8119000000000.00,6524995.5,0,
15,Boyacá,2003,1248391,8393000000000.00,6723054,0,
15,Boyacá,2004,1252027,8314000000000.00,6640432,0,
15,Boyacá,2005,1255314,8721000000000.00,6947266,0,
15,Boyacá,2006,1258195,9138000000000.00,7262785,0,
15,Boyacá,2007,1260821,10321000000000.00,8185936,0,
15,Boyacá,2008,1263252,11059000000000.00,8754389,0,
15,Boyacá,2009,1265513,11161000000000.00,8819348,0,
15,Boyacá,2010,1267652,11575000000000.00,9131055,0,
15,Boyacá,2011,1269405,12658000000000.00,9971601,0,
15,Boyacá,2012,1271133,13114000000000.00,10316780,0,
15,Boyacá,2013,1272855,13302000000000.00,10450523,198286309,1692353233
17,Caldas,2000,959483,4802000000000.00,5004778.5,0,
17,Caldas,2001,961277,5093000000000.00,5298160.5,0,
17,Caldas,2002,962996,5376000000000.00,5582577.5,0,
17,Caldas,2003,964745,5606000000000.00,5810862,0,
17,Caldas,2004,966596,5635000000000.00,5829736.5,0,
17,Caldas,2005,968586,5919000000000.00,6110970,0,
17,Caldas,2006,970651,6386000000000.00,6579089.5,0,
17,Caldas,2007,972591,6758000000000.00,6948450,0,
17,Caldas,2008,974493,6872000000000.00,7051872,0,
17,Caldas,2009,976423,6556000000000.00,6714303,0,
17,Caldas,2010,978342,6714000000000.00,6862631,0,
17,Caldas,2011,980267,6727000000000.00,6862416,0,
17,Caldas,2012,982207,6811000000000.00,6934383.5,0,
17,Caldas,2013,984115,7207000000000.00,7323331,672606323.5,1041748597
18,Caquetá,2000,398736,1382000000000.00,3465952.5,0,
18,Caquetá,2001,402694,1398000000000.00,3471618.75,0,
18,Caquetá,2002,406734,1380000000000.00,3392880.75,0,
18,Caquetá,2003,410991,1498000000000.00,3644848.75,0,
18,Caquetá,2004,415586,1462000000000.00,3517924,0,
18,Caquetá,2005,420518,1481000000000.00,3521846.75,0,
18,Caquetá,2006,425748,1541000000000.00,3619512,0,
18,Caquetá,2007,431020,1657000000000.00,3844369.25,0,
18,Caquetá,2008,436485,1745000000000.00,3997846.5,0,
18,Caquetá,2009,442071,1804000000000.00,4080792.5,0,
18,Caquetá,2010,447767,1825000000000.00,4075780.5,0,
18,Caquetá,2011,453588,1889000000000.00,4164572.25,0,
18,Caquetá,2012,459515,2124000000000.00,4622265,0,
18,Caquetá,2013,465487,2243000000000.00,4818609.5,186263.9961,21552037.91
19,Cauca,2000,1215944,3828000000000.00,3148171.25,0,
19,Cauca,2001,1227525,4072000000000.00,3317244,0,
19,Cauca,2002,1238420,4280000000000.00,3456016.5,0,
19,Cauca,2003,1248825,4263000000000.00,3413608.75,0,
19,Cauca,2004,1258885,4757000000000.00,3778740.75,0,
19,Cauca,2005,1268830,4913000000000.00,3872071,0,
19,Cauca,2006,1278185,5212000000000.00,4077657,0,
19,Cauca,2007,1287746,5488000000000.00,4261710,0,
19,Cauca,2008,1297703,5842000000000.00,4501800.5,0,
19,Cauca,2009,1308183,5862000000000.00,4481024.5,0,
19,Cauca,2010,1319120,6272000000000.00,4754685,0,
19,Cauca,2011,1330756,6508000000000.00,4890453,0,
19,Cauca,2012,1342650,7002000000000.00,5215060,0,
19,Cauca,2013,1354733,7703000000000.00,5685991.5,292623326,1844903413
20,Cesar,2000,844564,4262000000000.00,5046391,0,
20,Cesar,2001,855971,4543000000000.00,5307423,0,
20,Cesar,2002,867510,4845000000000.00,5584950,0,
20,Cesar,2003,879257,5341000000000.00,6074447,0,
20,Cesar,2004,891245,5900000000000.00,6619953,0,
