year,exporter,report_by_exporter,exp,imp,final,onlyfinal,exportreporter,export_value,inatlas
1962,"ABW",0,0,0,0,0,0,0,0
1962,"AFG",1,125,118,210,93,37204137,6.02e+07,0
1962,"AGO",1,583,372,723,151,1.457e+08,1.50e+08,1
1962,"AIA",0,0,0,0,0,0,0,0
1962,"ALB",0,0,49,49,49,0,2526978,1
1962,"AND",0,0,15,15,15,0,53287,0
1962,"ANT",1,27,395,411,387,572682,5.54e+08,0
1962,"ARE",0,0,1,1,1,0,2266,1
1962,"ARG",1,2310,2217,3114,857,1.192e+09,1.33e+09,1
1962,"ARM",0,0,0,0,0,0,0,0
1962,"ASM",0,0,0,0,0,0,0,0
1962,"ATA",0,0,0,0,0,0,0,0
1962,"ATG",0,0,0,0,0,0,0,0
1962,"AUS",0,0,4275,4213,4213,0,1.93e+09,1
1962,"AUT",0,0,8682,8550,8550,0,9.07e+08,1
1962,"AZE",0,0,0,0,0,0,0,1
1962,"BDI",0,0,55,53,53,0,4490700,0
1962,"BEL",1,20466,12805,22219,2041,4.212e+09,4.09e+09,1
1962,"BEN",1,181,146,244,65,10801844,1.35e+07,0
1962,"BES",0,0,0,0,0,0,0,0
1962,"BFA",1,237,110,273,37,6489681,1.33e+07,0
1962,"BGD",0,0,0,0,0,0,0,1
1962,"BGR",0,0,1072,1043,1043,0,9.35e+07,1
1962,"BHR",0,0,216,212,212,0,1.39e+08,0
1962,"BHS",0,0,157,153,153,0,1.14e+07,0
1962,"BIH",0,0,0,0,0,0,0,1
1962,"BLR",0,0,0,0,0,0,0,1
1962,"BLZ",0,0,4,4,4,0,58267,0
1962,"BMU",0,0,257,255,255,0,9983113,0
1962,"BOL",1,123,139,212,91,74866464,1.18e+08,1
1962,"BRA",1,1996,1770,2619,664,1.152e+09,1.24e+09,1
1962,"BRB",0,0,95,94,94,0,1.30e+07,0
1962,"BRN",1,221,49,248,28,64803993,7.12e+07,0
1962,"BTN",0,0,0,0,0,0,0,0
1962,"BVT",0,0,0,0,0,0,0,0
1962,"BWA",0,0,0,0,0,0,0,1
1962,"CAF",1,118,69,141,26,13738424,1.46e+07,0
1962,"CAN",1,13008,7554,14825,2257,5.902e+09,6.10e+09,1
1962,"CCK",0,0,0,0,0,0,0,0
1962,"CHE",1,16149,12275,19801,4031,1.995e+09,2.18e+09,1
1962,"CHL",1,764,760,1087,330,5.309e+08,5.58e+08,1
1962,"CHN",0,0,3598,3550,3550,0,5.68e+08,1
1962,"CIV",1,420,675,953,538,1.810e+08,2.24e+08,1
1962,"CMR",1,603,403,742,157,1.011e+08,1.38e+08,1
1962,"COD",1,201,613,671,475,1.166e+08,3.64e+08,0
1962,"COG",1,337,150,418,89,33901221,3.64e+07,1
1962,"COK",0,0,1,1,1,0,44675,0
1962,"COL",1,564,569,859,300,4.594e+08,4.89e+08,1
1962,"COM",1,14,10,22,8,831753,832348,0
1962,"CPV",0,0,6,6,6,0,32414,0
1962,"CRI",0,0,168,162,162,0,7.80e+07,1
1962,"CUB",0,0,271,257,257,0,1.40e+08,1
1962,"CUW",0,0,0,0,0,0,0,0
1962,"CXR",0,0,0,0,0,0,0,0
1962,"CYM",0,0,0,0,0,0,0,0
1962,"CYP",0,0,422,411,411,0,5.54e+07,0
1962,"CZE",0,0,0,0,0,0,0,1
1962,"DEU",1,45624,23749,47356,2160,1.265e+10,1.26e+10,1
1962,"DJI",1,5,45,46,41,27098,1486543,0
1962,"DMA",0,0,1,1,1,0,54055,0
1962,"DNK",1,15636,9899,16781,1482,1.569e+09,1.53e+09,1
1962,"DOM",0,0,282,277,277,0,1.84e+08,1
1962,"DZA",0,0,1457,1435,1435,0,7.69e+08,1
1962,"ECU",1,254,293,398,146,1.165e+08,1.49e+08,1
1962,"EGY",0,0,931,904,904,0,2.08e+08,1
1962,"ERI",0,0,0,0,0,0,0,0
1962,"ESH",0,0,0,0,0,0,0,0
1962,"ESP",1,6548,5977,8123,1760,7.018e+08,8.94e+08,1
1962,"EST",0,0,0,0,0,0,0,1
1962,"ETH",1,436,348,616,181,72182162,8.28e+07,1
1962,"FIN",0,0,3169,3102,3102,0,8.46e+08,1
1962,"FJI",0,0,46,46,46,0,1.40e+07,0
1962,"FLK",0,0,0,0,0,0,0,0
1962,"FRA",1,41583,24350,43034,1854,7.121e+09,7.14e+09,1
1962,"FRO",0,0,9,4,4,0,7047,0
1962,"FSM",0,0,0,0,0,0,0,0
1962,"GAB",1,247,111,283,37,58612217,8.07e+07,1
1962,"GBR",1,48959,23489,51456,2907,1.073e+10,1.08e+10,1
1962,"GEO",0,0,0,0,0,0,0,1
1962,"GHA",1,655,570,976,350,2.730e+08,2.79e+08,1
1962,"GIB",0,0,8,6,6,0,14069,0
1962,"GIN",0,0,156,150,150,0,3.24e+07,1
1962,"GLP",1,14,71,72,59,14677227,4.99e+07,0
1962,"GMB",0,0,55,55,55,0,9653609,0
1962,"GNB",0,0,107,107,107,0,1.42e+07,0
1962,"GNQ",0,0,59,57,57,0,1189802,0
1962,"GRC",1,1919,1545,2524,638,2.146e+08,2.50e+08,1
1962,"GRD",0,0,0,0,0,0,0,0
1962,"GRL",0,0,0,0,0,0,0,0
1962,"GTM",0,0,258,251,251,0,1.25e+08,1
1962,"GUF",1,1,1,2,1,119000,122970,0
1962,"GUM",0,0,0,0,0,0,0,0
1962,"GUY",0,0,199,197,197,0,7.30e+07,0
1962,"HKG",1,9447,5683,11325,2100,6.396e+08,7.31e+08,0
1962,"HMD",0,0,0,0,0,0,0,0
1962,"HND",0,0,162,161,161,0,5.54e+07,1
1962,"HRV",0,0,0,0,0,0,0,1
1962,"HTI",0,0,226,221,221,0,4.38e+07,0
1962,"HUN",0,0,3344,3302,3302,0,1.72e+08,1
1962,"IDN",1,518,1052,1214,699,6.245e+08,7.94e+08,1
1962,"IND",1,5747,3864,7149,1574,1.264e+09,1.41e+09,1
1962,"IRL",0,0,1837,1813,1813,0,4.46e+08,1
1962,"IRN",0,0,845,836,836,0,8.65e+08,1
1962,"IRQ",0,0,357,351,351,0,6.94e+08,0
1962,"ISL",1,137,391,416,281,46325150,7.28e+07,0
1962,"ISR",1,3444,2334,4114,797,2.601e+08,2.77e+08,1
1962,"ITA",1,32736,17171,34092,1793,4.414e+09,4.40e+09,1
1962,"JAM",1,770,435,924,179,1.761e+08,1.88e+08,1
1962,"JOR",0,0,84,80,80,0,5553544,1
1962,"JPN",1,25617,13544,26890,1704,4.469e+09,4.48e+09,1
1962,"KAZ",0,0,0,0,0,0,0,1
1962,"KEN",0,0,871,853,853,0,1.78e+08,1
1962,"KGZ",0,0,0,0,0,0,0,1
1962,"KHM",1,273,219,385,129,51358493,5.88e+07,1
1962,"KIR",0,0,0,0,0,0,0,0
1962,"KNA",0,0,0,0,0,0,0,0
1962,"KOR",1,132,485,520,392,25609000,5.00e+07,1
1962,"KWT",0,0,217,214,214,0,1.35e+09,1
1962,"LAO",1,39,31,62,23,750471,1093005,1
1962,"LBN",0,0,821,804,804,0,8.82e+07,1
1962,"LBR",0,0,135,127,127,0,9.30e+07,0
1962,"LBY",1,110,268,299,197,1.369e+08,1.39e+08,1
1962,"LCA",0,0,0,0,0,0,0,0
1962,"LKA",1,582,518,808,238,3.579e+08,3.69e+08,1
1962,"LSO",0,0,0,0,0,0,0,0
1962,"LTU",0,0,0,0,0,0,0,1
1962,"LUX",0,0,0,0,0,0,0,0
1962,"LVA",0,0,0,0,0,0,0,1
1962,"MAC",0,0,92,90,90,0,3940419,0
1962,"MAF",0,0,0,0,0,0,0,0
1962,"MAR",1,2428,1780,2815,440,3.355e+08,4.18e+08,1
1962,"MDA",0,0,0,0,0,0,0,1
1962,"MDG",1,612,311,725,120,93988891,9.67e+07,1
1962,"MDV",0,0,2,2,2,0,2736,0
1962,"MEX",1,2573,1974,3419,916,7.761e+08,9.38e+08,1
1962,"MHL",0,0,0,0,0,0,0,0
1962,"MKD",0,0,0,0,0,0,0,1
1962,"MLI",1,138,77,183,46,8578478,1.06e+07,1
1962,"MLT",0,0,397,385,385,0,7961539,0
1962,"MMR",1,427,435,615,193,2.488e+08,2.98e+08,0
1962,"MNE",0,0,0,0,0,0,0,0
1962,"MNG",0,0,28,28,28,0,4973444,1
1962,"MNP",0,0,0,0,0,0,0,0
1962,"MOZ",0,0,486,477,477,0,8.00e+07,1
1962,"MRT",1,73,23,84,17,2600457,3425055,1
1962,"MSR",0,0,0,0,0,0,0,0
1962,"MTQ",1,26,29,43,17,21543519,4.30e+07,0
1962,"MUS",0,0,46,46,46,0,3.95e+07,1
1962,"MWI",0,0,0,0,0,0,0,1
1962,"MYS",1,2144,2013,2921,864,8.508e+08,1.12e+09,1
1962,"MYT",0,0,0,0,0,0,0,0
1962,"NAM",0,0,0,0,0,0,0,1
1962,"NCL",1,6,59,59,53,21485918,3.25e+07,0
1962,"NER",1,145,94,212,67,14207254,2.09e+07,0
1962,"NFK",0,0,0,0,0,0,0,0
1962,"NGA",1,520,1026,1252,738,3.875e+08,4.81e+08,1
1962,"NIC",0,0,145,144,144,0,7.61e+07,1
1962,"NIU",0,0,0,0,0,0,0,0
1962,"NLD",1,25735,17195,29358,3902,3.828e+09,4.26e+09,1
1962,"NOR",1,8099,6016,9051,1173,8.807e+08,9.66e+08,1
1962,"NPL",0,0,29,28,28,0,268667,0
1962,"NRU",0,0,0,0,0,0,0,0
1962,"NZL",0,0,1020,1008,1008,0,8.17e+08,1
1962,"OMN",0,0,36,36,36,0,4319724,1
1962,"PAK",1,1669,1004,2034,404,3.824e+08,4.18e+08,1
1962,"PAN",1,199,845,936,740,35616252,8.15e+07,0
1962,"PCN",0,0,0,0,0,0,0,0
1962,"PER",1,853,998,1326,496,5.491e+08,6.27e+08,1
1962,"PHL",1,518,704,884,370,5.425e+08,5.74e+08,1
1962,"PLW",0,0,0,0,0,0,0,0
1962,"PNG",0,0,50,50,50,0,1.48e+07,1
1962,"POL",0,0,4237,4177,4177,0,5.09e+08,1
1962,"PRT",1,4609,3166,5379,901,3.595e+08,3.94e+08,1
1962,"PRY",1,212,261,339,129,28533334,4.15e+07,1
1962,"PSE",0,0,0,0,0,0,0,0
1962,"PYF",1,26,2,28,2,9769308,9772262,0
1962,"QAT",0,0,63,63,63,0,1.19e+08,1
1962,"REU",1,6,58,56,50,1619957,3.63e+07,0
1962,"ROU",0,0,1143,1132,1132,0,1.84e+08,1
1962,"RUS",0,0,0,0,0,0,0,1
1962,"RWA",0,0,0,0,0,0,0,0
1962,"SAU",0,0,210,207,207,0,7.43e+08,1
1962,"SDN",0,0,339,328,328,0,1.54e+08,0
1962,"SEN",1,372,494,709,352,1.226e+08,1.87e+08,1
1962,"SGP",1,4404,1658,4806,467,1.036e+09,7.26e+08,0
1962,"SGS",0,0,0,0,0,0,0,0
1962,"SHN",0,0,0,0,0,0,0,0
1962,"SLB",0,0,0,0,0,0,0,0
1962,"SLE",0,0,166,162,162,0,4.11e+07,0
1962,"SLV",0,0,148,143,143,0,1.14e+08,1
1962,"SMR",0,0,0,0,0,0,0,0
1962,"SOM",1,43,83,109,67,7602397,2.48e+07,0
1962,"SPM",0,0,23,22,22,0,105210,0
1962,"SRB",0,0,0,0,0,0,0,1
1962,"STP",0,0,5,5,5,0,23634,0
1962,"SUR",1,64,162,199,136,40149926,4.65e+07,0
1962,"SVK",0,0,0,0,0,0,0,1
1962,"SVN",0,0,0,0,0,0,0,1
1962,"SWE",1,18094,11752,19733,1935,2.535e+09,2.88e+09,1
1962,"SWZ",0,0,0,0,0,0,0,0
1962,"SYC",0,0,0,0,0,0,0,0
1962,"SYR",0,0,408,397,397,0,1.66e+08,1
1962,"TCA",0,0,0,0,0,0,0,0
1962,"TCD",1,131,54,160,31,15859878,1.95e+07,0
1962,"TGO",1,190,136,240,62,16843033,2.38e+07,0
1962,"THA",1,1451,1182,1816,381,4.448e+08,4.68e+08,1
1962,"TJK",0,0,0,0,0,0,0,1
1962,"TKL",0,0,0,0,0,0,0,0
1962,"TKM",0,0,0,0,0,0,0,1
1962,"TLS",0,0,296,289,289,0,5.01e+07,0
1962,"TON",0,0,0,0,0,0,0,0
1962,"TTO",0,0,444,439,439,0,2.11e+08,1
1962,"TUN",1,614,500,780,173,1.116e+08,1.82e+08,1
1962,"TUR",1,1156,940,1465,338,3.648e+08,3.90e+08,1
1962,"TUV",0,0,0,0,0,0,0,0
1962,"TZA",0,0,468,460,460,0,1.03e+08,1
1962,"UGA",0,0,105,105,105,0,2.75e+07,1
1962,"UKR",0,0,0,0,0,0,0,1
1962,"UMI",0,0,0,0,0,0,0,0
1962,"URY",0,0,569,560,560,0,1.24e+08,1
1962,"USA",1,45867,24944,49688,4238,1.902e+10,2.04e+10,1
1962,"UZB",0,0,0,0,0,0,0,1
1962,"VAT",0,0,0,0,0,0,0,0
1962,"VCT",0,0,0,0,0,0,0,0
1962,"VEN",1,831,566,1157,335,2.593e+09,2.83e+09,1
1962,"VNM",0,0,476,465,465,0,7.79e+07,1
1962,"VUT",0,0,121,119,119,0,2.32e+07,0
1962,"WLF",0,0,0,0,0,0,0,0
1962,"WSM",1,21,0,21,0,7731560,7731560,0
1962,"YEM",0,0,39,37,37,0,5129226,1
1962,"YUG",1,4496,3055,5456,1038,5.891e+08,6.44e+08,0
1962,"ZAF",0,0,3001,2932,2932,0,1.07e+09,1
1962,"ZMB",0,0,0,0,0,0,0,1
1962,"ZWE",0,0,793,778,778,0,4.98e+08,1
1963,"ABW",0,0,0,0,0,0,0,0
1963,"AFG",1,133,146,216,87,41907387,7.14e+07,0
1963,"AGO",0,0,432,419,419,0,1.34e+08,1
1963,"AIA",0,0,0,0,0,0,0,0
1963,"ALB",0,0,108,102,102,0,3963267,1
1963,"AND",0,0,0,0,0,0,0,0
1963,"ANT",1,611,481,890,304,6.487e+08,6.52e+08,0
1963,"ARE",0,0,2,2,2,0,35549,1
1963,"ARG",1,3216,3118,4234,1109,1.338e+09,1.51e+09,1
1963,"ARM",0,0,0,0,0,0,0,0
1963,"ASM",0,0,0,0,0,0,0,0
1963,"ATA",0,0,0,0,0,0,0,0
1963,"ATG",0,0,0,0,0,0,0,0
1963,"AUS",1,9082,5299,10377,1483,2.644e+09,2.81e+09,1
1963,"AUT",1,13570,10323,15038,1797,1.208e+09,1.22e+09,1
1963,"AZE",0,0,0,0,0,0,0,1
1963,"BDI",0,0,41,40,40,0,5085532,0
1963,"BEL",1,21158,15877,23417,2725,4.754e+09,4.55e+09,1
1963,"BEN",1,188,154,260,86,12643431,1.47e+07,0
1963,"BES",0,0,0,0,0,0,0,0
1963,"BFA",1,235,83,259,32,7950610,1.31e+07,0
1963,"BGD",0,0,0,0,0,0,0,1
1963,"BGR",0,0,1563,1538,1538,0,1.29e+08,1
1963,"BHR",0,0,257,255,255,0,1.33e+08,0
1963,"BHS",0,0,160,154,154,0,1.14e+07,0
1963,"BIH",0,0,0,0,0,0,0,1
1963,"BLR",0,0,0,0,0,0,0,1
1963,"BLZ",0,0,2,2,2,0,56224,0
1963,"BMU",0,0,334,323,323,0,9959622,0
1963,"BOL",1,123,154,223,104,81027164,1.18e+08,1
1963,"BRA",1,2240,2235,3039,854,1.340e+09,1.43e+09,1
1963,"BRB",0,0,103,102,102,0,3.95e+07,0
1963,"BRN",1,243,46,262,26,59506108,4.68e+07,0
1963,"BTN",0,0,0,0,0,0,0,0
1963,"BVT",0,0,0,0,0,0,0,0
1963,"BWA",0,0,0,0,0,0,0,1
1963,"CAF",1,97,75,126,34,21605647,2.06e+07,0
1963,"CAN",1,13927,9639,16105,2782,6.307e+09,6.58e+09,1
1963,"CCK",0,0,0,0,0,0,0,0
1963,"CHE",1,20003,14963,21506,2017,2.356e+09,2.35e+09,1
1963,"CHL",1,884,862,1184,318,5.415e+08,5.82e+08,1
1963,"CHN",0,0,4716,4671,4671,0,7.43e+08,1
1963,"CIV",1,1003,757,1251,278,2.293e+08,2.64e+08,1
1963,"CMR",1,584,417,743,171,1.179e+08,1.49e+08,1
1963,"COD",0,0,583,566,566,0,3.44e+08,0
1963,"COG",1,289,197,419,133,41245322,4.63e+07,1
1963,"COK",0,0,0,0,0,0,0,0
1963,"COL",1,754,760,1090,344,4.390e+08,4.77e+08,1
1963,"COM",0,0,8,7,7,0,315761,0
1963,"CPV",0,0,0,0,0,0,0,0
1963,"CRI",0,0,388,371,371,0,8.17e+07,1
1963,"CUB",0,0,289,281,281,0,2.21e+08,1
1963,"CUW",0,0,0,0,0,0,0,0
1963,"CXR",0,0,0,0,0,0,0,0
1963,"CYM",0,0,0,0,0,0,0,0
1963,"CYP",0,0,512,496,496,0,5.69e+07,0
1963,"CZE",0,0,0,0,0,0,0,1
1963,"DEU",1,47418,29733,49280,2395,1.408e+10,1.37e+10,1
1963,"DJI",0,0,49,43,43,0,896681,0
1963,"DMA",0,0,0,0,0,0,0,0
1963,"DNK",1,16420,12738,17832,1879,1.801e+09,1.75e+09,1
1963,"DOM",0,0,310,301,301,0,1.66e+08,1
1963,"DZA",0,0,1328,1305,1305,0,6.91e+08,1
1963,"ECU",1,246,377,468,227,1.276e+08,2.56e+08,1
1963,"EGY",0,0,1273,1241,1241,0,2.54e+08,1
1963,"ERI",0,0,0,0,0,0,0,0
1963,"ESH",0,0,1,1,1,0,8972,0
1963,"ESP",1,7137,6954,8936,1994,7.058e+08,9.31e+08,1
1963,"EST",0,0,0,0,0,0,0,1
1963,"ETH",0,0,449,441,441,0,7.96e+07,1
1963,"FIN",1,4593,3845,5146,828,9.409e+08,1.01e+09,1
1963,"FJI",0,0,85,85,85,0,4.19e+07,0
1963,"FLK",0,0,0,0,0,0,0,0
1963,"FRA",1,42446,28414,43964,2097,7.921e+09,7.78e+09,1
1963,"FRO",0,0,0,0,0,0,0,0
1963,"FSM",0,0,0,0,0,0,0,0
1963,"GAB",1,284,144,312,32,71877735,9.48e+07,1
1963,"GBR",1,51383,29465,53439,2660,1.152e+10,1.17e+10,1
1963,"GEO",0,0,0,0,0,0,0,1
1963,"GHA",1,530,653,895,378,2.448e+08,2.62e+08,1
1963,"GIB",0,0,11,11,11,0,23115,0
1963,"GIN",0,0,195,170,170,0,3.88e+07,1
1963,"GLP",0,0,101,97,97,0,5.49e+07,0
1963,"GMB",0,0,56,54,54,0,8662903,0
1963,"GNB",0,0,106,104,104,0,1.44e+07,0
1963,"GNQ",0,0,56,50,50,0,2966562,0
1963,"GRC",1,2198,2026,2853,728,2.533e+08,2.73e+08,1
1963,"GRD",0,0,0,0,0,0,0,0
1963,"GRL",0,0,0,0,0,0,0,0
1963,"GTM",0,0,693,679,679,0,1.64e+08,1
1963,"GUF",0,0,6,6,6,0,31731,0
1963,"GUM",0,0,0,0,0,0,0,0
1963,"GUY",0,0,199,196,196,0,9.65e+07,0
1963,"HKG",1,10512,7398,12548,2245,8.397e+08,9.28e+08,0
1963,"HMD",0,0,0,0,0,0,0,0
1963,"HND",1,311,340,462,155,81358581,8.39e+07,1
1963,"HRV",0,0,0,0,0,0,0,1
1963,"HTI",0,0,258,257,257,0,4.48e+07,0
1963,"HUN",0,0,4743,4672,4672,0,2.96e+08,1
1963,"IDN",0,0,1140,1127,1127,0,7.65e+08,1
1963,"IND",1,6200,5186,8261,2255,1.406e+09,1.53e+09,1
1963,"IRL",1,2395,2387,3248,963,4.942e+08,5.40e+08,1
1963,"IRN",1,1162,1024,1659,527,8.782e+08,1.14e+09,1
1963,"IRQ",1,352,445,685,336,7.358e+08,8.48e+08,0
1963,"ISL",1,289,476,542,257,80625432,8.69e+07,0
1963,"ISR",1,3890,3153,4826,1087,3.244e+08,3.39e+08,1
1963,"ITA",1,33400,21652,35195,2288,4.779e+09,4.72e+09,1
1963,"JAM",1,885,491,1027,182,1.980e+08,2.39e+08,1
1963,"JOR",0,0,142,136,136,0,7167087,1
1963,"JPN",1,27236,17585,28933,2255,4.992e+09,5.02e+09,1
1963,"KAZ",0,0,0,0,0,0,0,1
1963,"KEN",0,0,1061,1038,1038,0,2.14e+08,1
1963,"KGZ",0,0,0,0,0,0,0,1
1963,"KHM",1,305,235,430,129,83115243,7.81e+07,1
1963,"KIR",0,0,0,0,0,0,0,0
1963,"KNA",0,0,0,0,0,0,0,0
1963,"KOR",1,1043,833,1306,282,85522124,9.26e+07,1
1963,"KWT",0,0,355,349,349,0,1.50e+09,1
1963,"LAO",1,25,32,45,22,704152,1262692,1
1963,"LBN",0,0,1209,1157,1157,0,8.96e+07,1
1963,"LBR",1,85,166,199,114,75788000,1.09e+08,0
1963,"LBY",1,115,287,323,210,3.735e+08,3.57e+08,1
1963,"LCA",0,0,0,0,0,0,0,0
1963,"LKA",1,622,633,920,311,3.473e+08,3.63e+08,1
1963,"LSO",0,0,0,0,0,0,0,0
1963,"LTU",0,0,0,0,0,0,0,1
1963,"LUX",0,0,0,0,0,0,0,0
1963,"LVA",0,0,0,0,0,0,0,1
1963,"MAC",0,0,2,2,2,0,35983,0
1963,"MAF",0,0,0,0,0,0,0,0
1963,"MAR",1,2270,1867,2647,457,3.672e+08,4.58e+08,1
1963,"MDA",0,0,0,0,0,0,0,1
1963,"MDG",1,521,328,639,124,81481378,9.63e+07,1
1963,"MDV",0,0,0,0,0,0,0,0
1963,"MEX",1,2861,2583,3895,1114,9.035e+08,1.08e+09,1
1963,"MHL",0,0,0,0,0,0,0,0
1963,"MKD",0,0,0,0,0,0,0,1
1963,"MLI",1,145,124,217,73,8791125,1.71e+07,1
1963,"MLT",0,0,525,508,508,0,9231325,0
1963,"MMR",1,422,492,658,242,2.556e+08,2.91e+08,0
1963,"MNE",0,0,0,0,0,0,0,0
1963,"MNG",0,0,36,35,35,0,4818612,1
1963,"MNP",0,0,0,0,0,0,0,0
1963,"MOZ",0,0,445,439,439,0,9.35e+07,1
1963,"MRT",1,133,47,149,21,15896446,1.80e+07,1
1963,"MSR",0,0,0,0,0,0,0,0
1963,"MTQ",0,0,37,35,35,0,4.14e+07,0
1963,"MUS",0,0,53,50,50,0,1.07e+08,1
1963,"MWI",0,0,0,0,0,0,0,1
1963,"MYS",1,2205,2295,3151,1022,9.364e+08,1.19e+09,1
1963,"MYT",0,0,0,0,0,0,0,0
1963,"NAM",0,0,0,0,0,0,0,1
1963,"NCL",0,0,92,89,89,0,4.44e+07,0
1963,"NER",1,115,121,208,93,19609233,2.57e+07,0
1963,"NFK",0,0,0,0,0,0,0,0
1963,"NGA",1,796,1327,1636,856,5.135e+08,5.24e+08,1
1963,"NIC",0,0,302,294,294,0,9.68e+07,1
1963,"NIU",0,0,0,0,0,0,0,0
1963,"NLD",1,25666,21691,30667,5375,4.168e+09,4.68e+09,1
1963,"NOR",1,8628,7619,9808,1491,9.931e+08,1.05e+09,1
1963,"NPL",0,0,24,24,24,0,150108,0
1963,"NRU",0,0,0,0,0,0,0,0
1963,"NZL",0,0,1570,1555,1555,0,9.55e+08,1
1963,"OMN",0,0,159,153,153,0,3.40e+07,1
1963,"PAK",1,1847,1486,2504,728,3.934e+08,4.68e+08,1
1963,"PAN",1,194,1078,1197,1003,41449688,1.12e+08,0
1963,"PCN",0,0,0,0,0,0,0,0
1963,"PER",1,938,1152,1418,498,5.338e+08,6.62e+08,1
1963,"PHL",1,578,795,952,387,7.055e+08,7.93e+08,1
1963,"PLW",0,0,0,0,0,0,0,0
1963,"PNG",0,0,95,95,95,0,3.51e+07,1
1963,"POL",0,0,5853,5744,5744,0,6.10e+08,1
1963,"PRT",1,5067,3338,5945,1014,4.082e+08,4.29e+08,1
1963,"PRY",1,172,302,355,184,34200748,4.85e+07,1
1963,"PSE",0,0,0,0,0,0,0,0
1963,"PYF",0,0,0,0,0,0,0,0
1963,"QAT",0,0,151,145,145,0,1.33e+08,1
1963,"REU",0,0,70,69,69,0,3.97e+07,0
1963,"ROU",0,0,1693,1675,1675,0,2.61e+08,1
1963,"RUS",0,0,0,0,0,0,0,1
1963,"RWA",0,0,7,7,7,0,151414,0
1963,"SAU",0,0,231,222,222,0,8.68e+08,1
1963,"SDN",1,651,471,857,224,1.990e+08,2.11e+08,0
1963,"SEN",1,652,574,1036,423,1.097e+08,1.93e+08,1
1963,"SGP",1,4546,1863,4950,533,1.047e+09,7.53e+08,0
1963,"SGS",0,0,0,0,0,0,0,0
1963,"SHN",0,0,0,0,0,0,0,0
1963,"SLB",0,0,0,0,0,0,0,0
1963,"SLE",1,29,217,215,186,27158520,6.54e+07,0
1963,"SLV",1,622,358,742,138,1.515e+08,1.51e+08,1
1963,"SMR",0,0,0,0,0,0,0,0
1963,"SOM",0,0,86,82,82,0,2.35e+07,0
1963,"SPM",0,0,1,1,1,0,1035,0
1963,"SRB",0,0,0,0,0,0,0,1
1963,"STP",0,0,0,0,0,0,0,0
1963,"SUR",0,0,232,225,225,0,4.50e+07,0
1963,"SVK",0,0,0,0,0,0,0,1
1963,"SVN",0,0,0,0,0,0,0,1
1963,"SWE",1,19089,15030,21092,2354,2.920e+09,3.14e+09,1
1963,"SWZ",0,0,0,0,0,0,0,0
1963,"SYC",0,0,0,0,0,0,0,0
1963,"SYR",0,0,628,613,613,0,1.70e+08,1
1963,"TCA",0,0,0,0,0,0,0,0
1963,"TCD",1,114,62,147,33,22562603,2.12e+07,0
1963,"TGO",1,172,132,233,63,18150846,2.29e+07,0
1963,"THA",1,1515,1354,1931,427,4.542e+08,4.77e+08,1
1963,"TJK",0,0,0,0,0,0,0,1
1963,"TKL",0,0,0,0,0,0,0,0
1963,"TKM",0,0,0,0,0,0,0,1
1963,"TLS",0,0,421,402,402,0,5.06e+07,0
1963,"TON",0,0,0,0,0,0,0,0
1963,"TTO",0,0,642,628,628,0,2.71e+08,1
1963,"TUN",1,741,534,901,178,1.206e+08,1.90e+08,1
1963,"TUR",1,1201,1195,1622,444,3.454e+08,3.77e+08,1
1963,"TUV",0,0,0,0,0,0,0,0
1963,"TZA",0,0,618,599,599,0,1.40e+08,1
1963,"UGA",0,0,178,177,177,0,4.90e+07,1
1963,"UKR",0,0,0,0,0,0,0,1
1963,"UMI",0,0,0,0,0,0,0,0
1963,"URY",0,0,647,641,641,0,1.62e+08,1
1963,"USA",1,46419,31745,51121,5237,2.052e+10,2.18e+10,1
1963,"UZB",0,0,0,0,0,0,0,1
1963,"VAT",0,0,0,0,0,0,0,0
1963,"VCT",0,0,0,0,0,0,0,0
1963,"VEN",1,725,821,1200,493,2.613e+09,2.62e+09,1
1963,"VNM",1,240,551,608,374,76325973,1.17e+08,1
1963,"VUT",0,0,107,102,102,0,3.56e+07,0
