rank,abbrv,country,eci_value,delta,year
1,JPN,Japan,3.047747,0,1995
2,DEU,Germany,2.642743,0,1995
3,CHE,Switzerland,2.476652,0,1995
4,SWE,Sweden,2.366172,0,1995
5,FIN,Finland,2.291272,1,1995
6,AUT,Austria,2.264544,-1,1995
7,GBR,United Kingdom,2.0587310000000003,1,1995
8,USA,United States,2.043731,-1,1995
9,FRA,France,1.9474759999999998,1,1995
10,ITA,Italy,1.7658470000000002,-1,1995
11,DNK,Denmark,1.694541,0,1995
12,BEL,Belgium,1.687528,0,1995
13,SVN,Slovenia,1.5526790000000001,3,1995
14,CZE,Czech Republic,1.51799,0,1995
15,NLD,Netherlands,1.511496,0,1995
16,IRL,Ireland,1.433147,-3,1995
17,SVK,Slovak Republic,1.390772,2,1995
18,ESP,Spain,1.375265,0,1995
19,ISR,Israel,1.172755,-2,1995
20,KOR,"Korea, Rep.",1.1074979999999999,2,1995
21,CAN,Canada,1.032478,0,1995
22,HUN,Hungary,1.014407,1,1995
23,SGP,Singapore,0.9826710999999999,1,1995
24,NOR,Norway,0.9467030000000001,1,1995
25,GEO,Georgia,0.8832476,16,1995
26,POL,Poland,0.7896504,2,1995
27,HRV,Croatia,0.7796430999999999,0,1995
28,MEX,Mexico,0.7743258000000001,-8,1995
29,BRA,Brazil,0.6023665,3,1995
30,BLR,Belarus,0.5746401999999999,1,1995
31,ROU,Romania,0.5685559,-1,1995
32,EST,Estonia,0.5450025,8,1995
33,KAZ,Kazakhstan,0.4991834,24,1995
34,RUS,Russia,0.4464518,15,1995
35,HKG,Hong Kong,0.44239399999999995,-6,1995
36,BGR,Bulgaria,0.4330389,-2,1995
37,LTU,Lithuania,0.42290959999999994,-1,1995
38,MDA,Moldova,0.39005159999999994,7,1995
39,LVA,Latvia,0.3774555,-1,1995
40,BIH,Bosnia and Herzegovina,0.3713878,-14,1995
41,MKD,Macedonia,0.3354072,2,1995
42,SAU,Saudi Arabia,0.3157492,-3,1995
43,NZL,New Zealand,0.3115699,-8,1995
44,PRT,Portugal,0.305558,-7,1995
45,UKR,Ukraine,0.2392882,-1,1995
46,URY,Uruguay,0.23419339999999997,-13,1995
47,MYS,Malaysia,0.2233346,0,1995
48,ZAF,South Africa,0.1966558,0,1995
49,JOR,Jordan,0.1957918,-7,1995
50,CHN,China,0.1568342,0,1995
51,AZE,Azerbaijan,0.0956625,22,1995
52,THA,Thailand,0.0913172,2,1995
53,LBN,Lebanon,0.0719143,-1,1995
54,AUS,Australia,0.0544398,1,1995
55,PAN,Panama,0.045984199999999996,-2,1995
56,GRC,Greece,0.0331175,5,1995
57,ARG,Argentina,0.0253435,3,1995
58,VEN,Venezuela,-0.026195299999999998,9,1995
59,TUR,Turkey,-0.031148900000000004,-3,1995
60,TTO,Trinidad and Tobago,-0.06738330000000001,-9,1995
61,IND,India,-0.1423479,-3,1995
62,KWT,Kuwait,-0.21502849999999998,-3,1995
63,SEN,Senegal,-0.216516,9,1995
64,OMN,Oman,-0.2406271,-18,1995
65,ZWE,Zimbabwe,-0.2500426,10,1995
66,ARE,United Arab Emirates,-0.2874357,12,1995
67,SLV,El Salvador,-0.2984695,-5,1995
68,COL,Colombia,-0.3017199,-5,1995
69,CHL,Chile,-0.32599079999999997,-3,1995
70,GTM,Guatemala,-0.33554570000000006,-5,1995
71,CRI,Costa Rica,-0.3895675,0,1995
72,PHL,Philippines,-0.40471009999999996,-3,1995
73,TUN,Tunisia,-0.41180379999999994,-9,1995
74,KEN,Kenya,-0.4488803,-6,1995
75,CUB,Cuba,-0.4664474,16,1995
76,MOZ,Mozambique,-0.48946649999999997,0,1995
77,JAM,Jamaica,-0.5185853,9,1995
78,EGY,Egypt,-0.5439626000000001,-8,1995
79,PER,Peru,-0.5515198,4,1995
80,UZB,Uzbekistan,-0.5535849,14,1995
81,QAT,Qatar,-0.5649026999999999,-7,1995
82,IDN,Indonesia,-0.5687973000000001,0,1995
83,LBY,Libya,-0.5694055,4,1995
84,DOM,Dominican Republic,-0.5950901999999999,-7,1995
85,ALB,Albania,-0.6533005999999999,-6,1995
86,BOL,Bolivia,-0.6770934000000001,3,1995
87,ZMB,Zambia,-0.6774498999999999,11,1995
88,DZA,Algeria,-0.6921501,-3,1995
89,PRY,Paraguay,-0.7018018,1,1995
90,NIC,Nicaragua,-0.7093415,-9,1995
91,MUS,Mauritius,-0.7135767,-11,1995
92,MAR,Morocco,-0.784031,-8,1995
93,MNG,Mongolia,-0.8130304,2,1995
94,SYR,Syrian Arab Republic,-0.8932235000000001,-1,1995
95,SDN,Sudan,-0.9365312,2,1995
96,TKM,Turkmenistan,-0.938738,9,1995
97,HND,Honduras,-0.9545155999999999,-5,1995
98,LKA,Sri Lanka,-0.9626589,-10,1995
99,IRN,Iran,-0.9825421999999999,3,1995
100,CIV,Cote d'Ivoire,-0.9952209999999999,17,1995
101,PAK,Pakistan,-1.026046,-5,1995
102,BGD,Bangladesh,-1.03619,-3,1995
103,CMR,Cameroon,-1.056814,15,1995
104,YEM,Yemen,-1.165308,11,1995
105,MWI,Malawi,-1.196117,-5,1995
106,MDG,Madagascar,-1.206129,-2,1995
107,VNM,Viet Nam,-1.221835,1,1995
108,COG,Congo,-1.237645,1,1995
109,TZA,Tanzania,-1.237832,2,1995
110,MRT,Mauritania,-1.243825,2,1995
111,GIN,Guinea,-1.290625,5,1995
112,KHM,Cambodia,-1.314303,-2,1995
113,LAO,Lao PDR,-1.3601219999999998,-10,1995
114,UGA,Uganda,-1.360227,-1,1995
115,ECU,Ecuador,-1.404251,-9,1995
116,GHA,Ghana,-1.432246,3,1995
117,ETH,Ethiopia,-1.5287030000000001,-16,1995
118,GAB,Gabon,-1.5842129999999999,-11,1995
119,AGO,Angola,-2.073029,-5,1995
120,NGA,Nigeria,-2.1245380000000003,1,1995
121,PNG,Papua New Guinea,-2.347904,-1,1995
1,JPN,Japan,3.015311,0,1996
2,DEU,Germany,2.638067,0,1996
3,CHE,Switzerland,2.5931439999999997,0,1996
4,SWE,Sweden,2.453036,0,1996
5,FIN,Finland,2.2471259999999997,0,1996
6,AUT,Austria,2.236917,0,1996
7,GBR,United Kingdom,2.1420209999999997,0,1996
8,USA,United States,2.115031,0,1996
9,ITA,Italy,1.8316009999999998,1,1996
10,FRA,France,1.754795,-1,1996
11,IRL,Ireland,1.646671,5,1996
12,BEL,Belgium,1.6456279999999999,0,1996
13,DNK,Denmark,1.620522,-2,1996
14,CZE,Czech Republic,1.5429469999999998,0,1996
15,SVN,Slovenia,1.475027,-2,1996
16,NLD,Netherlands,1.386,-1,1996
17,ESP,Spain,1.366274,1,1996
18,ISR,Israel,1.3550959999999999,1,1996
19,SVK,Slovak Republic,1.324359,-2,1996
20,KOR,"Korea, Rep.",1.2675809999999998,0,1996
21,SGP,Singapore,1.128838,2,1996
22,CAN,Canada,1.0788790000000001,-1,1996
23,HUN,Hungary,1.0165389999999999,-1,1996
24,UKR,Ukraine,0.9564961,21,1996
25,MEX,Mexico,0.9428300999999999,3,1996
26,NOR,Norway,0.9117448,-2,1996
27,POL,Poland,0.8920302999999999,-1,1996
28,HRV,Croatia,0.7416881999999999,-1,1996
29,BLR,Belarus,0.7073078,1,1996
30,BRA,Brazil,0.7031286,-1,1996
31,BGR,Bulgaria,0.6197882,5,1996
32,HKG,Hong Kong,0.5861734000000001,3,1996
33,KAZ,Kazakhstan,0.5834895999999999,0,1996
34,ROU,Romania,0.5797533,-3,1996
35,BIH,Bosnia and Herzegovina,0.5790482,5,1996
36,EST,Estonia,0.5247813,-4,1996
37,RUS,Russia,0.5092651,-3,1996
38,PRT,Portugal,0.5040015999999999,6,1996
39,MYS,Malaysia,0.46968909999999997,8,1996
40,NZL,New Zealand,0.41726179999999996,3,1996
41,GEO,Georgia,0.3548595,-16,1996
42,AZE,Azerbaijan,0.3546769,9,1996
43,CHN,China,0.3522906,7,1996
44,LVA,Latvia,0.31686329999999996,-5,1996
45,LTU,Lithuania,0.296548,-8,1996
46,ZAF,South Africa,0.2132163,2,1996
47,GRC,Greece,0.209206,9,1996
48,MDA,Moldova,0.1821245,-10,1996
49,THA,Thailand,0.1788491,3,1996
50,MKD,Macedonia,0.1566818,-9,1996
51,URY,Uruguay,0.1383916,-5,1996
52,LBN,Lebanon,0.10733019999999999,1,1996
53,JOR,Jordan,0.0818227,-4,1996
54,CHL,Chile,0.0347574,15,1996
55,SAU,Saudi Arabia,0.0257832,-13,1996
56,AUS,Australia,0.0046343,-2,1996
57,TUR,Turkey,-0.0016579000000000001,2,1996
58,IND,India,-0.0052119,3,1996
59,PAN,Panama,-0.0075087,-4,1996
60,OMN,Oman,-0.0552047,4,1996
61,ARG,Argentina,-0.09916119999999999,-4,1996
62,PHL,Philippines,-0.1241272,10,1996
63,TTO,Trinidad and Tobago,-0.1811803,-3,1996
64,VEN,Venezuela,-0.2347159,-6,1996
65,CRI,Costa Rica,-0.24687089999999998,6,1996
66,COL,Colombia,-0.2538965,2,1996
67,UZB,Uzbekistan,-0.3339006,13,1996
68,KWT,Kuwait,-0.3430008,-6,1996
69,MOZ,Mozambique,-0.3546033,7,1996
70,IDN,Indonesia,-0.37579959999999996,12,1996
71,MNG,Mongolia,-0.3785875,22,1996
72,TUN,Tunisia,-0.3931972,1,1996
