"year","age","team","td","id","total_tds","actual","adjusted_age"
1974,21,"CHI",0,"A/AvelBo00",0,0,0
1975,22,"CHI",6,"A/AvelBo00",6,1,0
1976,23,"CHI",8,"A/AvelBo00",14,1,0
1977,24,"CHI",11,"A/AvelBo00",25,1,0
1978,25,"CHI",5,"A/AvelBo00",30,1,0
1979,26,"CHI",2,"A/AvelBo00",32,1,0
1981,28,"CHI",1,"A/AvelBo00",33,1,0
1982,29,"CHI",0,"A/AvelBo00",33,1,0
1983,30,"CHI",0,"A/AvelBo00",33,1,0
1984,31,"CHI",0,"A/AvelBo00",33,1,0
1998,25,"MIA",0,"H/HuarDa00",0,1,0
1999,26,"MIA",8,"H/HuarDa00",8,1,0
2000,27,"MIA",1,"H/HuarDa00",9,1,0
2002,29,"NWE",0,"H/HuarDa00",9,1,0
2003,30,"NWE",0,"H/HuarDa00",9,1,0
2006,33,"KAN",11,"H/HuarDa00",20,1,0
2007,34,"KAN",11,"H/HuarDa00",31,1,0
2008,35,"KAN",2,"H/HuarDa00",33,1,0
2004,23,"BUF",0,"L/LosmJ.00",0,1,0
2005,24,"BUF",8,"L/LosmJ.00",8,1,0
2006,25,"BUF",19,"L/LosmJ.00",27,1,0
2007,26,"BUF",4,"L/LosmJ.00",31,1,0
2008,27,"BUF",2,"L/LosmJ.00",33,1,0
2009,28,"OAK",0,"L/LosmJ.00",33,1,0
2011,30,"MIA",0,"L/LosmJ.00",33,1,0
2006,22,"CAR",0,"M/MoorMa01",0,0,0
2007,23,"CAR",3,"M/MoorMa01",3,1,0
2009,25,"CAR",8,"M/MoorMa01",11,1,0
2010,26,"CAR",5,"M/MoorMa01",16,1,0
2011,27,"MIA",16,"M/MoorMa01",32,1,0
2012,28,"MIA",1,"M/MoorMa01",33,1,0
2013,29,"MIA",0,"M/MoorMa01",33,1,0
2013.41176470588,29.4117647058824,"MIA",0,"M/MoorMa01",33,1,1
1978,22,"CIN",0,"T/ThomJa00",0,0,0
1979,23,"CIN",1,"T/ThomJa00",1,1,0
1980,24,"CIN",11,"T/ThomJa00",12,1,0
1981,25,"CIN",1,"T/ThomJa00",13,1,0
1982,26,"CIN",0,"T/ThomJa00",13,1,0
1983,27,"TAM",18,"T/ThomJa00",31,1,0
1984,28,"TAM",2,"T/ThomJa00",33,1,0
1957,21,"CLE",0,"N/NinoJi00",0,0,0
1958,22,"CLE",1,"N/NinoJi00",1,1,0
1959,23,"CLE",0,"N/NinoJi00",1,1,0
1960,24,"DET",2,"N/NinoJi00",3,1,0
1961,25,"DET",7,"N/NinoJi00",10,1,0
1962,26,"CLE",7,"N/NinoJi00",17,1,0
1963,27,"CLE",2,"N/NinoJi00",19,1,0
1964,28,"CLE",2,"N/NinoJi00",21,1,0
1965,29,"CLE",4,"N/NinoJi00",25,1,0
1966,30,"CLE",4,"N/NinoJi00",29,1,0
1967,31,"WAS",0,"N/NinoJi00",29,1,0
1968,32,"WAS",4,"N/NinoJi00",33,1,0
1969,33,"NOR",1,"N/NinoJi00",34,1,0
1933,22,"CHI",0,"M/MastBe20",0,0,0
1934,23,"CHI",1,"M/MastBe20",1,1,0
1935,24,"CHI",6,"M/MastBe20",7,1,0
1936,25,"CHI",3,"M/MastBe20",10,1,0
1937,26,"CHI",9,"M/MastBe20",19,1,0
1938,27,"CHI",5,"M/MastBe20",24,1,0
1939,28,"CHI",8,"M/MastBe20",32,1,0
1940,29,"CHI",2,"M/MastBe20",34,1,0
1993,26,"GNB",0,"D/DetmTy00",0,1,0
1995,28,"GNB",1,"D/DetmTy00",1,1,0
1996,29,"PHI",15,"D/DetmTy00",16,1,0
1997,30,"PHI",7,"D/DetmTy00",23,1,0
